Cueanexo,Nombre_EE,Sector,Ámbito,Código de localidad,Localidad,Primario,Secundario,Jardín,id_depto
540046902,Aula Sat. Nº 02: ESC. Nº 204,Estatal,Rural,54035001,ARROYO SANTA MARIA,1,0,0,54035
540067501,Aula Sat. Nº 01: ESC. Nº 531,Estatal,Urbano,54056005,EL SOBERBIO,1,0,0,54056
540077904,Aula Sat. Nº 04: ESC. Nº 707,Estatal,Urbano,54049001,ALMIRANTE BROWN,1,0,0,54049
540081100,ESC. Nº 59: JUANA AZURDUY,Estatal,Urbano,54028009,GARUPA,1,0,0,54028
540088100,ESC. Nº 714,Estatal,Urbano,54077011,GARUHAPE,1,0,0,54077
540098202,Aula Sat. Nº 02: ESC. Nº 640,Estatal,Urbano,54056019,SAN VICENTE,1,0,0,54056
540101700,ESC. Nº 64,Estatal,Rural,54091001,ALBERDI,1,0,0,54091
540104300,ESC. Nº 579: FUERZA AEREA ARGENTINA,Estatal,Urbano,54028012,POSADAS,1,0,0,54028
540111200,ESC. Nº 282,Estatal,Urbano,54091003,CAMPO VIERA,1,0,0,54091
540116106,Aula Sat. Nº 06: ESC. Nº 120,Estatal,Rural,54056005,EL SOBERBIO,1,0,0,54056
540173000,ESC. Nº 926,Estatal,Urbano,54091014,OBERA,1,0,0,54091
580010400,ESCUELA PRIMARIA 201 HIPÓLITO YRIGOYEN,Estatal,Urbano,58035022,NEUQUEN,1,0,0,58035
580023400,ESCUELA PRIMARIA 142 JUAN GALO DE LAVALLE,Estatal,Urbano,58056038,SAN MARTIN DE LOS ANDES,1,0,0,58056
580028500,ESCUELA PRIMARIA 298,Estatal,Urbano,58035022,NEUQUEN,1,0,0,58035
580058600,ESCUELA PRIMARIA  21,Estatal,Rural,58077007,BELLA VISTA,1,0,0,58077
580061500,ESCUELA PRIMARIA  60,Estatal,Urbano,58035027,PLOTTIER,1,0,0,58035
580072300,ESCUELA PRIMARIA 317,Estatal,Rural,58049043,CONFLUENCIA DEL MALLEO,1,0,0,58049
620001400,ESCUELA PRIMARIA NRO. 61 SANTIAGO ANDRE,Estatal,Rural,62042033,MAINQUE,1,0,0,62042
620006100,ESCUELA PRIMARIA NRO. 58 REGINA PACCINI DE ALVEAR,Estatal,Urbano,62042045,VILLA REGINA,1,0,0,62042
620006200,ESCUELA PRIMARIA NRO.316,Estatal,Urbano,62042045,VILLA REGINA,1,0,0,62042
620009000,ESCUELA PRIMARIA NRO.326,Estatal,Urbano,62091031,INGENIERO JACOBACCI,1,0,0,62091
620012700,ESCUELA PRIMARIA NRO. 86 SEPTIMIO ROMAGNOLI,Estatal,Urbano,62042028,GENERAL ROCA,1,0,0,62042
